
	2017	2016	2015	2014	2013	2012	2011	2010	Illes Balears	0,866	0,863	0,855	0,854	0,852	0,847	0,845	0,840	
Total mundial	0,728	0,726	0,722	0,718	..	0,709	..	0,698	
Desarrollo humano muy alto	0,894	0,892	0,890	0,887	..	0,880	..	0,873	
Desarrollo humano alto	0,757	0,754	0,750	0,745	..	0,732	..	0,718	
Desarrollo humano medio	0,645	0,641	0,634	0,627	..	0,613	..	0,596	
Desarrollo humano bajo	0,504	0,501	0,498	0,495	..	0,486	..	0,472	
Países en desarrollo	0,681	0,678	0,673	0,669	..	0,657	..	0,642	
Estados Árabes	0,699	0,697	0,694	0,690	..	0,686	..	0,675	
Asia Oriental y el Pacífico	0,733	0,730	0,725	0,720	..	0,707	..	0,692	
Europa y Asia Central	0,771	0,767	0,764	0,761	..	0,749	..	0,733	
América Latina y el Caribe	0,758	0,757	0,754	0,751	..	0,740	..	0,731	
Asia Meridional	0,638	0,634	0,625	0,618	..	0,602	..	0,584	
África Subsahariana	0,537	0,534	0,531	0,526	..	0,514	..	0,498	
Países menos adelantados	0,524	0,519	0,515	0,511	..	0,499	..	0,484	
Pequeños Estados insulares en desarrollo	0,722	0,720	0,719	0,714	..	0,708	..	0,704	
Organización para la Cooperación y el Desarrollo Económicos	0,895	0,893	0,890	0,886	..	0,880	..	0,874	
